Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,552.84,Active,3573.2,3594.61,1284.57,No
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,773.89,Active,3573.2,3656.3,4985.96,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,552.84,Active,3573.2,3594.61,1284.57,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,661.27,Active,3573.2,3560.86,-740.45,Yes
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,773.89,Active,3573.2,3656.3,4985.96,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,159.26,Active,3573.2,3555.19,-1080.4,Yes
Railroad St,lapuz - 1,lapuz - 3,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,3378.68,Active,3573.2,4017.48,26656.87,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,555.74,Active,3573.2,3556.38,-1008.82,Yes
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,555.74,Active,3573.2,3556.38,-1008.82,Yes
