Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,439.17,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 439 vol,N/A
Yulo Dr,villa - 1,villa - 4,0.64,Inactive,3468.84,3495.97,1627.68,No
Jocson St,villa - 1,villa - 2,659.4,Active,3468.84,3498.24,1764.33,No
Jocson St (Rev),villa - 2,villa - 1,659.4,Active,3468.84,3498.24,1764.33,No
Circumferential Rd 1,villa - 2,villa - 3,1506.76,Active,3468.84,3523.89,3303.27,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,218.94,Active,3468.84,3497.63,1727.4,No
Circumferential Rd 1 (Rev),villa - 3,villa - 2,1506.76,Active,3468.84,3523.89,3303.27,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,1944.0,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 1944 vol,N/A
Yulo Dr (Rev),villa - 4,villa - 1,0.64,Inactive,3468.84,3495.97,1627.68,No
Quezon St (Rev),villa - 4,villa - 3,218.94,Active,3468.84,3497.63,1727.4,No
Molo Blvd (Rev),villa - 5,Molo - 6,219.59,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 220 vol,N/A
Osmena St (Rev),villa - 6,villa - 1,439.17,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 439 vol,N/A
Pakiad Rd (Rev),villa - 6,villa - 7,219.59,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 220 vol,N/A
Pakiad Rd,villa - 7,villa - 6,219.59,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 220 vol,N/A
Molo - Arevalo Connect,Molo - 3,villa - 3,1944.0,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 1944 vol,N/A
Locsin St,Molo - 3,Molo - 4,2660.5,Active,3468.84,3921.11,27136.44,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,1832.18,Active,3468.84,3595.77,7615.79,No
Locsin St (Rev),Molo - 4,Molo - 3,1436.47,Active,3468.84,3507.29,2307.08,No
Locsin St,Molo - 4,Molo - 5,1441.46,Active,3468.84,3539.27,4225.94,No
M.H Del Pilar,Molo - 4,Molo - 9,1331.06,Active,3468.84,3520.4,3093.75,No
Locsin St (Rev),Molo - 5,Molo - 4,1485.63,Active,3468.84,3510.12,2477.04,No
Locsin St,Molo - 5,Molo - 6,1293.2,Active,3468.84,3516.52,2860.59,No
Timawa St,Molo - 5,Proper - 2,132.01,Active,3468.84,3496.82,1678.57,No
Locsin St (Rev),Molo - 6,Molo - 5,153.82,Active,3468.84,3500.92,1924.83,No
Molo Blvd,Molo - 6,villa - 5,219.59,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 220 vol,N/A
Molo Blvd 2,Molo - 6,Proper - 4,1453.0,Active,3468.84,3520.83,3119.46,No
Rotunda,Molo - 7,Molo - 8,1842.45,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 289 vol,N/A
San Marcos St,Molo - 8,Molo - 3,1449.77,Active,3468.84,3504.68,2150.63,No
M.H Del Pilar,Molo - 8,Molo - 9,392.68,Active,3468.84,3508.8,2397.46,No
M.H Del Pilar (Rev),Molo - 9,Molo - 4,62.87,Active,3468.84,3496.5,1659.55,No
M.H Del Pilar,Molo - 9,Molo - 10,1660.87,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 145 vol,N/A
Molo - Proper Connect,Molo - 10,Proper - 1,1421.94,Active,3468.84,3523.33,3269.47,No
M.H Del Pilar,Molo - 10,Molo - 7,238.93,Active,3468.84,3500.69,1911.33,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,1603.52,Active,3468.84,3533.9,3903.44,No
Infante St 1,Proper - 1,Proper - 2,1147.09,Active,3468.84,3509.47,2437.89,No
Gen Luna St 1,Proper - 1,Proper - 7,1056.65,Active,3468.84,3515.23,2783.48,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1317.6,Active,3468.84,3590.8,7317.6,No
Timawa St (Rev),Proper - 2,Molo - 5,1315.56,Active,3468.84,3495.3,1587.54,No
Infante St 1 (Rev),Proper - 2,Proper - 1,992.58,Active,3468.84,3511.38,2552.34,No
Infante St 2,Proper - 2,Proper - 3,436.31,Active,3468.84,3507.82,2338.78,No
Delgado St,Proper - 2,Proper - 10,764.96,Active,3468.84,3495.17,1579.73,No
Infante St 2 (Rev),Proper - 3,Proper - 2,1108.64,Active,3468.84,3510.51,2500.14,No
Infante St 3,Proper - 3,Proper - 4,563.58,Active,3468.84,3514.34,2729.76,No
Molo Blvd 2 (Rev),Proper - 4,Molo - 6,313.62,Active,3468.84,3502.37,2011.83,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,1702.96,Active,3468.84,3540.22,4282.82,No
Rizal St 1,Proper - 5,Proper - 3,1235.91,Active,3468.84,3530.23,3683.65,No
Rizal St 2,Proper - 5,Proper - 6,1781.83,Active,3468.84,3538.74,4193.83,No
Rizal St 2 (Rev),Proper - 6,Proper - 5,1314.78,Active,3468.84,3534.74,3954.05,No
Rizal St 3,Proper - 6,Proper - 14,833.53,Active,3468.84,3519.48,3038.34,No
Ledesma St,Proper - 6,Proper - 11,1124.45,Active,3468.84,3499.9,1863.4,No
Gen Luna St 1 (Rev),Proper - 7,Proper - 1,1151.03,Active,3468.84,3515.73,2813.37,No
Gen Luna St 2,Proper - 7,Proper - 8,1841.59,Active,3468.84,3523.61,3286.15,No
Bonifacio Drive,Proper - 7,lapaz - 10,2609.95,Active,3468.84,3522.33,3209.33,No
Gen Luna St 2 (Rev),Proper - 8,Proper - 7,2622.15,Active,3468.84,3528.2,3561.37,No
Gen Luna St 3,Proper - 8,Proper - 9,1359.44,Active,3468.84,3523.58,3284.58,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,1401.92,Active,3468.84,3508.7,2391.78,No
Gen Luna St 3 (Rev),Proper - 9,Proper - 8,2027.44,Active,3468.84,3503.15,2058.68,No
Muelle Loney St 1,Proper - 9,Proper - 12,1350.99,Active,3468.84,3494.87,1561.57,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,919.01,Active,3468.84,3539.68,4250.24,No
Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,1514.47,Active,3468.84,3513.92,2704.73,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,2197.65,Active,3468.84,3517.9,2943.67,No
Delgado St (Rev),Proper - 10,Proper - 2,1121.67,Active,3468.84,3503.56,2083.29,No
Ledesma St (Rev),Proper - 11,Proper - 6,473.25,Active,3468.84,3499.46,1837.13,No
Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,2666.91,Active,3468.84,3543.0,4449.71,No
Arroyo St (Rev),Proper - 11,Proper - 12,774.91,Active,3468.84,3504.52,2141.03,No
JM Basa St 1,Proper - 11,Proper - 13,2355.43,Active,3468.84,3562.78,5636.69,No
Arroyo St,Proper - 12,Proper - 11,792.68,Active,3468.84,3504.91,2164.25,No
Muelle Loney St 1 (Rev),Proper - 12,Proper - 9,1348.77,Active,3468.84,3496.45,1656.86,No
Muelle Loney St 2,Proper - 12,Proper - 18,2007.76,Active,3468.84,3632.55,9822.79,No
JM Basa St 1 (Rev),Proper - 13,Proper - 11,2155.73,Active,3468.84,3578.64,6588.27,No
JM Basa St 2,Proper - 13,Proper - 14,1556.6,Active,3468.84,3558.2,5361.95,No
Dela Rama St 1,Proper - 13,Proper - 17,1071.24,Active,3468.84,3525.57,3403.83,No
Rizal St 3 (Rev),Proper - 14,Proper - 6,1017.67,Active,3468.84,3519.31,3028.36,No
JM Basa St 2 (Rev),Proper - 14,Proper - 13,1312.17,Active,3468.84,3565.48,5798.7,No
General Hughes St 1,Proper - 14,Proper - 15,2216.2,Active,3468.84,3646.84,10680.0,No
General Hughes St 1 (Rev),Proper - 15,Proper - 14,2155.92,Active,3468.84,3648.75,10794.6,No
Duran St,Proper - 15,Proper - 16,661.9,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 662 vol,N/A
General Hughes St 2,Proper - 15,Proper - 22,892.4,Active,3468.84,3543.03,4451.47,No
Duran St (Rev),Proper - 16,Proper - 15,661.9,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 662 vol,N/A
Dela Rama St 1 (Rev),Proper - 17,Proper - 13,1115.97,Active,3468.84,3533.34,3869.85,No
Dela Rama St 2,Proper - 17,Proper - 20,661.9,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 662 vol,N/A
Blumentritt 1,Proper - 17,Proper - 18,1473.0,Active,3468.84,3518.81,2998.39,No
Blumentritt 2,Proper - 17,Proper - 19,1093.3,Active,3468.84,3504.67,2150.09,No
Blumentritt 1 (Rev),Proper - 18,Proper - 17,1457.44,Active,3468.84,3521.1,3135.5,No
Muelle Loney St 2 (Rev),Proper - 18,Proper - 12,2023.32,Active,3468.84,3628.11,9556.25,No
Muelle Loney St 3,Proper - 18,Proper - 19,0.0,Inactive,3468.84,3495.95,1626.63,No
Blumentritt 2 (Rev),Proper - 19,Proper - 17,1153.58,Active,3468.84,3501.18,1940.3,No
Muelle Loney St 3 (Rev),Proper - 19,Proper - 18,0.0,Inactive,3468.84,3495.95,1626.63,No
Muelle Loney St 4,Proper - 19,Proper - 21,431.4,Active,3468.84,3502.01,1990.22,No
Dela Rama St 2 (Rev),Proper - 20,Proper - 17,661.9,CRITICAL CUT-EDGE,3468.84,DISCONNECTED,Dropped 662 vol,N/A
Muelle Loney St 4 (Rev),Proper - 21,Proper - 19,491.68,Active,3468.84,3496.99,1688.97,No
Fort San Pedro Dr,Proper - 21,Proper - 22,170.22,Active,3468.84,3498.89,1803.24,No
General Hughes St 2 (Rev),Proper - 22,Proper - 15,832.12,Active,3468.84,3540.43,4295.59,No
Fort San Pedro Dr (Rev),Proper - 22,Proper - 21,230.5,Active,3468.84,3502.62,2027.1,No
Old Iloilo - Capiz Rd,mandurriao - 1,Proper - 1,1559.31,Active,3468.84,3575.14,6378.33,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,808.62,Active,3468.84,3636.12,10037.04,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,319.44,Active,3468.84,3516.79,2877.29,No
El 98 St (Rev),mandurriao - 1,jaro - 7,1062.04,Active,3468.84,3562.06,5593.36,No
