Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Yulo Dr,villa - 1,villa - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Jocson St,villa - 1,villa - 2,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Jocson St (Rev),villa - 2,villa - 1,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Circumferential Rd 1,villa - 2,villa - 3,629.7,Active,3573.2,3546.24,-1617.17,Yes
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Circumferential Rd 1 (Rev),villa - 3,villa - 2,629.7,Active,3573.2,3546.24,-1617.17,Yes
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,2162.3,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 2162 vol,N/A
Yulo Dr (Rev),villa - 4,villa - 1,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Quezon St (Rev),villa - 4,villa - 3,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo Blvd (Rev),villa - 5,Molo - 6,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Osmena St (Rev),villa - 6,villa - 1,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Pakiad Rd (Rev),villa - 6,villa - 7,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Pakiad Rd,villa - 7,villa - 6,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo - Arevalo Connect,Molo - 3,villa - 3,2162.3,CRITICAL CUT-EDGE,3573.2,DISCONNECTED,Dropped 2162 vol,N/A
Locsin St,Molo - 3,Molo - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
New Carpenter Bridge,Molo - 3,mandurriao - 6,531.3,Active,3573.2,3553.69,-1170.29,Yes
Locsin St (Rev),Molo - 4,Molo - 3,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St,Molo - 4,Molo - 5,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 4,Molo - 9,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St (Rev),Molo - 5,Molo - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St,Molo - 5,Molo - 6,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Timawa St,Molo - 5,Proper - 2,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Locsin St (Rev),Molo - 6,Molo - 5,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo Blvd,Molo - 6,villa - 5,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo Blvd 2,Molo - 6,Proper - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Rotunda,Molo - 7,Molo - 8,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
San Marcos St,Molo - 8,Molo - 3,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 8,Molo - 9,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar (Rev),Molo - 9,Molo - 4,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 9,Molo - 10,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Molo - Proper Connect,Molo - 10,Proper - 1,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
M.H Del Pilar,Molo - 10,Molo - 7,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Gen Luna - Molo Connect,Proper - 1,Molo - 7,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Infante St 1,Proper - 1,Proper - 2,826.19,Active,3573.2,3555.04,-1089.17,Yes
Gen Luna St 1,Proper - 1,Proper - 7,1680.47,Active,3573.2,3560.97,-733.49,Yes
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2375.46,Active,3573.2,3616.22,2581.15,No
Timawa St (Rev),Proper - 2,Molo - 5,0.0,Inactive,3573.2,3543.89,-1758.24,Yes
Infante St 1 (Rev),Proper - 2,Proper - 1,877.38,Active,3573.2,3564.25,-536.78,Yes
Infante St 2,Proper - 2,Proper - 3,1386.14,Active,3573.2,3551.06,-1328.52,Yes
Delgado St,Proper - 2,Proper - 10,397.95,Active,3573.2,3551.01,-1331.06,Yes
