Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Balabago Rd (Rev),jaro - 10,jaro - 9,26.8,Active,2661.0,2662.5,89.79,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,1152.8,Active,2661.0,2668.97,478.25,No
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,1618.89,Active,2661.0,2793.6,7955.86,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd (Rev),jaro - 11,jaro - 10,26.8,Active,2661.0,2662.5,89.79,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,0.0,Inactive,2661.0,2661.85,50.88,No
Buhang Flyover - Balabago Rd,jaro - 12,jaro - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Buhang Flyover,jaro - 12,jaro - 13,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,0.0,Inactive,2661.0,2661.85,50.88,No
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,0.0,Inactive,2661.0,2661.85,50.88,No
Buhang Flyover (Rev),jaro - 13,jaro - 12,0.0,Inactive,2661.0,2661.85,50.88,No
Buhang Flyover - Iloilo-Capiz Rd (Rev),jaro - 14,jaro - 13,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo-Capiz Rd - Buhang Flyover,jaro - 14,jaro - 12,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Capiz Rd - Balabago Rd,jaro - 14,jaro - 9,2329.31,Active,2661.0,2680.5,1169.86,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover,jaro - 15,jaro - 13,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St,jaro - 17,mandurriao - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St,jaro - 17,jaro - 16,0.0,Inactive,2661.0,2661.85,50.88,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,0.0,Inactive,2661.0,2661.85,50.88,No
Lopez Jaena St - Old Lopez Jaena St (Rev),jaro - 18,jaro - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 17,0.0,Inactive,2661.0,2661.85,50.88,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,0.0,Inactive,2661.0,2661.85,50.88,No
Lapaz - Monfort Blvd,jaro - 19,jaro - 11,1665.0,Active,2661.0,2833.21,10332.29,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,1951.49,Active,2661.0,2821.81,9648.65,No
Monfort Blvd - Leganes (Rev),jaro - 20,jaro - 11,1152.8,Active,2661.0,2668.98,478.73,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 (Rev),jaro - 21,jaro - 14,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4 (Rev),jaro - 22,jaro - 15,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Radial By-Pass Rd 4 (Rev),jaro - 23,jaro - 15,0.0,Inactive,2661.0,2661.85,50.88,No
Old Iloilo-Capiz Rd - Pavia (Rev),jaro - 24,jaro - 16,0.0,Inactive,2661.0,2661.85,50.88,No
Jereos St (Rev),jaro - 25,jaro - 3,1784.8,Active,2661.0,2687.41,1584.3,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Luna St,lapaz - 3,jaro - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Luna St - Huervana St,lapaz - 3,lapaz - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Huervana St - Burgos St (Rev),lapaz - 4,lapaz - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Divinagracia St,lapaz - 4,lapuz - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Lopez Jaena St,lapaz - 5,lapaz - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Huervana Ext,lapaz - 6,lapaz - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Jereos St,lapaz - 6,jaro - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Burgos St,lapaz - 7,jaro - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Lopez Jaena St (Rev),lapaz - 8,lapaz - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Baldoza St,lapaz - 8,lapaz - 9,0.0,Inactive,2661.0,2661.85,50.88,No
Baldoza St (Rev),lapaz - 9,lapaz - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Coastal Rd,lapaz - 9,lapuz - 7,189.2,Active,2661.0,2663.54,152.03,No
Monfort Blvd,lapaz - 9,jaro - 19,1997.6,Active,2661.0,2898.75,14264.58,No
Bonifacio Drive (Rev),lapaz - 10,Proper - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Luna St - Esplanade 5 (Rev),lapaz - 10,lapaz - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Divinagracia St (Rev),lapuz - 1,lapaz - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Railroad St,lapuz - 1,lapuz - 3,0.0,Inactive,2661.0,2661.85,50.88,No
Quirino - Lopez Bridge (Rev),lapuz - 2,Proper - 9,3555.1,Active,2661.0,2703.08,2524.67,No
Rizal St - Huervana St (Rev),lapuz - 2,lapaz - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,525.8,Active,2661.0,2664.3,197.63,No
Railroad St (Rev),lapuz - 3,lapuz - 1,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Ferry Terminal Access Rd (Rev),lapuz - 4,lapuz - 2,525.8,Active,2661.0,2664.3,197.63,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,525.8,Active,2661.0,2664.3,197.63,No
New Iloilo Ferry Terminal Access Rd (Rev),lapuz - 5,lapuz - 4,0.0,Inactive,2661.0,2661.85,50.88,No
Rizal St - Iloilo Airport Direct Rd (Rev),lapuz - 6,lapuz - 4,525.8,Active,2661.0,2664.3,197.63,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,0.0,Inactive,2661.0,2661.85,50.88,No
Coastal Rd (Rev),lapuz - 7,lapaz - 9,189.2,Active,2661.0,2663.54,152.03,No
Lapuz Mansaya Loboc Rd (Rev),lapuz - 7,lapuz - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Iloilo Airport Direct Rd (Rev),lapuz - 8,lapuz - 6,0.0,Inactive,2661.0,2661.85,50.88,No
