From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
Proper - 15,Proper - 16,Duran St,0.0,1100,0.0
Proper - 15,Proper - 22,General Hughes St 2,140.51,2200,0.064
Proper - 16,Proper - 15,Duran St (Rev),0.0,1100,0.0
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1747.62,1100,1.589
Proper - 17,Proper - 20,Dela Rama St 2,0.0,1100,0.0
Proper - 17,Proper - 18,Blumentritt 1,1410.77,1100,1.283
Proper - 17,Proper - 19,Blumentritt 2,321.77,1100,0.293
Proper - 18,Proper - 17,Blumentritt 1 (Rev),1379.15,1100,1.254
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),3407.07,2200,1.549
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2200,0.0
Proper - 19,Proper - 17,Blumentritt 2 (Rev),368.47,1100,0.335
Proper - 19,Proper - 18,Muelle Loney St 3 (Rev),0.0,2200,0.0
Proper - 19,Proper - 21,Muelle Loney St 4,0.0,2200,0.0
Proper - 20,Proper - 17,Dela Rama St 2 (Rev),0.0,1100,0.0
Proper - 21,Proper - 19,Muelle Loney St 4 (Rev),0.0,2200,0.0
Proper - 21,Proper - 22,Fort San Pedro Dr,140.51,2200,0.064
Proper - 22,Proper - 15,General Hughes St 2 (Rev),140.51,2200,0.064
Proper - 22,Proper - 21,Fort San Pedro Dr (Rev),140.51,2200,0.064
mandurriao - 1,Proper - 1,Old Iloilo - Capiz Rd,2388.12,2200,1.086
mandurriao - 1,mandurriao - 2,Mandurriao - Jaro Rd,1029.7,2200,0.468
mandurriao - 1,jaro - 17,Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),0.0,4400,0.0
mandurriao - 1,jaro - 7,El 98 St (Rev),879.14,2200,0.4
mandurriao - 2,mandurriao - 1,Mandurriao - Jaro Rd (Rev),1029.7,2200,0.468
mandurriao - 2,mandurriao - 3,Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,664.6,2200,0.302
mandurriao - 3,mandurriao - 12,Mandurriao - Sn Miguel Rd,1659.4,2200,0.754
mandurriao - 3,mandurriao - 4,Mandurriao - Sn Miguel Rd - R Mapa St,664.6,4400,0.151
mandurriao - 4,mandurriao - 5,Pakiad Rd,0.0,2200,0.0
mandurriao - 4,mandurriao - 2,R Mapa St - Mandurriao - Jaro Rd,664.6,2200,0.302
mandurriao - 4,mandurriao - 6,R Mapa St,475.5,2200,0.216
mandurriao - 5,mandurriao - 4,Pakiad Rd (Rev),0.0,2200,0.0
mandurriao - 6,Molo - 3,New Carpenter Bridge (Rev),531.3,1100,0.483
mandurriao - 6,mandurriao - 4,R Mapa St (Rev),475.5,2200,0.216
mandurriao - 6,mandurriao - 7,R Mapa St - Extension,55.8,1100,0.051
mandurriao - 7,mandurriao - 6,R Mapa St - Extension (Rev),55.8,1100,0.051
mandurriao - 8,villa - 2,Iloilo Circumferential Rd 1 (Rev),634.2,2200,0.288
mandurriao - 9,mandurriao - 12,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,0.0,2200,0.0
mandurriao - 10,mandurriao - 12,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),0.0,2200,0.0
mandurriao - 11,mandurriao - 12,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),0.0,2200,0.0
mandurriao - 12,mandurriao - 3,Mandurriao - Sn Miguel Rd (Rev),1659.4,2200,0.754
mandurriao - 12,mandurriao - 9,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1 (Rev),0.0,2200,0.0
mandurriao - 12,mandurriao - 10,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1) (Rev),0.0,2200,0.0
mandurriao - 12,mandurriao - 11,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2) (Rev),0.0,2200,0.0
jaro - 1,jaro - 4,E Lopez St,302.96,2200,0.138
jaro - 1,lapaz - 3,Luna St (Rev),255.14,2200,0.116
jaro - 2,jaro - 5,Commission Civil St,552.84,1100,0.503
jaro - 2,lapaz - 7,Burgos St (Rev),661.27,1100,0.601
jaro - 3,jaro - 25,Jereos St,0.0,1100,0.0
jaro - 3,lapaz - 6,Jereos St (Rev),0.0,1100,0.0
jaro - 4,jaro - 1,E Lopez St (Rev),255.14,2200,0.116
jaro - 4,jaro - 5,E Lopez St - Plaza Rizal St - Commission Civil St,1273.76,4400,0.289
jaro - 5,jaro - 2,Commission Civil St (Rev),661.27,1100,0.601
jaro - 5,jaro - 6,Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,1165.33,4400,0.265
jaro - 6,jaro - 9,Plaza Rizal St - Balabago Rd,1266.23,1100,1.151
jaro - 6,jaro - 7,Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,890.04,5500,0.162
jaro - 7,jaro - 4,El 98 St - Plaza Rizal St - E Lopez St,1225.94,4400,0.279
jaro - 7,mandurriao - 1,El 98 St,891.8,2200,0.405
jaro - 8,jaro - 6,Lopez Jaena St - Plaza Rizal St,878.9,3300,0.266
jaro - 8,jaro - 18,Lopez Jaena St - Old Lopez Jaena St,0.0,1100,0.0
jaro - 9,jaro - 14,Iloilo Capiz Rd - Balabago Rd (Rev),1434.31,2200,0.652
jaro - 9,jaro - 10,Balabago Rd,1357.82,2200,0.617
jaro - 9,jaro - 8,Iloilo-Capiz Rd - Lopez Jaena St,1339.5,2200,0.609
jaro - 10,jaro - 12,Buhang Flyover - Balabago Rd (Rev),0.0,2200,0.0
jaro - 10,jaro - 11,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,1357.82,1100,1.234
jaro - 10,jaro - 9,Balabago Rd (Rev),1406.13,2200,0.639
jaro - 11,jaro - 20,Monfort Blvd - Leganes,1152.8,2200,0.524
jaro - 11,jaro - 19,Lapaz - Monfort Blvd (Rev),1267.67,2200,0.576
jaro - 11,jaro - 10,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd (Rev),1406.13,1100,1.278
jaro - 12,jaro - 14,Iloilo-Capiz Rd - Buhang Flyover (Rev),1459.27,1100,1.327
jaro - 12,jaro - 10,Buhang Flyover - Balabago Rd,0.0,2200,0.0
jaro - 12,jaro - 13,Buhang Flyover,0.0,1100,0.0
jaro - 13,jaro - 15,Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),0.0,2200,0.0
jaro - 13,jaro - 14,Buhang Flyover - Iloilo-Capiz Rd,0.0,1100,0.0
jaro - 13,jaro - 12,Buhang Flyover (Rev),0.0,1100,0.0
jaro - 14,jaro - 13,Buhang Flyover - Iloilo-Capiz Rd (Rev),0.0,1100,0.0
jaro - 14,jaro - 12,Iloilo-Capiz Rd - Buhang Flyover,1434.31,1100,1.304
jaro - 14,jaro - 21,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,0.0,2200,0.0
jaro - 14,jaro - 9,Iloilo Capiz Rd - Balabago Rd,1459.27,2200,0.663
jaro - 15,jaro - 22,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,0.0,2200,0.0
jaro - 15,jaro - 13,Iloilo Radial By-Pass Rd 4 - Buhang Flyover,0.0,2200,0.0
jaro - 15,jaro - 23,Iloilo Radial By-Pass Rd 4,0.0,2200,0.0
jaro - 16,jaro - 17,Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),0.0,4400,0.0
jaro - 16,jaro - 24,Old Iloilo-Capiz Rd - Pavia,0.0,4400,0.0
jaro - 17,mandurriao - 1,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,4400,0.0
jaro - 17,jaro - 16,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,4400,0.0
jaro - 17,jaro - 18,Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),0.0,2200,0.0
jaro - 18,jaro - 8,Lopez Jaena St - Old Lopez Jaena St (Rev),0.0,1100,0.0
jaro - 18,jaro - 17,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2200,0.0
jaro - 18,jaro - 16,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2200,0.0
