Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,1818.4,Active,2757.47,2927.05,10174.51,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,1205.1,Active,2757.47,2780.5,1381.51,No
Delgado St,Proper - 2,Proper - 10,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Infante St 3,Proper - 3,Proper - 4,One-Way,1205.1,Active,2757.47,2774.66,1031.34,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,3078.3,Active,2757.47,2812.94,3328.05,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,3078.3,Active,2757.47,2817.53,3603.42,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1045.23,Active,2757.47,2804.18,2802.35,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,3555.1,Active,2757.47,2910.85,9202.68,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,1045.23,Active,2757.47,2804.18,2802.35,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,781.11,Active,2757.47,2806.29,2928.69,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,3468.86,Active,2757.47,2978.9,13285.26,No
Duran St,Proper - 15,Proper - 16,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,966.8,Active,2757.47,2812.73,3315.27,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,1118.3,Active,2757.47,2833.97,4589.77,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,463.3,Active,2757.47,2775.42,1076.77,No
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,463.3,Active,2757.47,2772.76,917.02,No
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,1659.4,Active,2757.47,2817.81,3620.17,No
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,526.2,Active,2757.47,2780.88,1404.14,No
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,475.5,Active,2757.47,2788.47,1859.78,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
E Lopez St,jaro - 1,jaro - 4,Two-Way,0.0,Inactive,2757.47,2776.86,1163.39,No
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Commission Civil St,jaro - 2,jaro - 5,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Jereos St,jaro - 3,jaro - 25,Two-Way,1700.77,Active,2757.47,2803.05,2734.75,No
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,154.7,Active,2757.47,2774.99,1051.05,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,154.7,Active,2757.47,2774.99,1051.05,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,851.8,Active,2757.47,2891.91,8065.91,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,225.43,Active,2757.47,2777.57,1205.76,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,226.29,Active,2757.47,2777.78,1218.53,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,225.43,Active,2757.47,2777.57,1205.76,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,2060.55,Active,2757.47,2844.25,5206.24,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,262.75,Active,2757.47,2804.38,2814.08,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,922.53,Active,2757.47,2880.72,7394.96,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,26.8,Active,2757.47,2774.6,1027.43,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,1152.8,Active,2757.47,2786.09,1716.88,No
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1580.97,Active,2757.47,3139.56,22925.13,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1913.57,Active,2757.47,3310.49,33180.82,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,189.2,Active,2757.47,2777.46,1199.42,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,525.8,Active,2757.47,2778.98,1290.3,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,525.8,Active,2757.47,2778.98,1290.3,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
