Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,2757.47,2778.78,1278.03,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,2757.47,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,Active,2757.47,3345.17,35261.8,No
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Locsin St,Molo - 3,Molo - 4,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,545.9,Active,2757.47,2799.04,2494.16,No
Locsin St,Molo - 4,Molo - 5,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Locsin St,Molo - 5,Molo - 6,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Rotunda,Molo - 7,Molo - 8,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
San Marcos St,Molo - 8,Molo - 3,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,0.0,Inactive,2757.47,2774.07,995.9,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,1205.1,Active,2757.47,2780.5,1381.51,No
