Origin Node,Origin Name,Destination Node,Destination Name,Critical Volume,Max PoA,Road Name,Closed Edge From,Closed Edge To,Baseline TSTT (hrs),New TSTT (hrs),Time Saved (mins)
villa - 1,Osmena St - Jocson St,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500.0,1.1049,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2292.48,2277.45,901.68
villa - 1,Osmena St - Jocson St,jaro - 12,Buhang Flyover,2500.0,1.0511,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,769.98,769.82,9.39
villa - 1,Osmena St - Jocson St,jaro - 13,Buhang Flyover,3000.0,1.0579,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1022.18,1014.17,480.55
villa - 1,Osmena St - Jocson St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0624,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1000.7,994.7,360.11
villa - 1,Osmena St - Jocson St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1093.77,1085.23,512.56
villa - 3,Jocson St - Quezon St,jaro - 12,Buhang Flyover,2500.0,1.055,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,691.35,690.41,56.86
villa - 3,Jocson St - Quezon St,jaro - 13,Buhang Flyover,3000.0,1.0607,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,924.63,917.22,444.57
villa - 3,Jocson St - Quezon St,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0655,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,903.01,897.72,317.08
villa - 3,Jocson St - Quezon St,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0539,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,994.17,988.82,321.16
villa - 4,Quezon St - Yulo Dr,Proper - 19,Muelle Loney St - Blumentritt Right,2500.0,1.0165,Blumentritt 1 (Rev),Proper - 18,Proper - 17,576.6,573.18,205.28
villa - 4,Quezon St - Yulo Dr,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,4500.0,1.1062,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2294.32,2279.15,910.06
villa - 4,Quezon St - Yulo Dr,jaro - 12,Buhang Flyover,2500.0,1.0527,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,770.68,770.61,4.02
villa - 4,Quezon St - Yulo Dr,jaro - 13,Buhang Flyover,3000.0,1.062,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1025.7,1016.29,564.45
villa - 4,Quezon St - Yulo Dr,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,3000.0,1.0663,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1003.85,997.38,388.14
villa - 4,Quezon St - Yulo Dr,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,3000.0,1.0554,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1094.81,1087.88,415.91
villa - 6,Osmena St - Pakiad St,jaro - 12,Buhang Flyover,4000.0,1.0109,Buhang Flyover (Rev),jaro - 13,jaro - 12,2166.61,2166.35,15.94
villa - 6,Osmena St - Pakiad St,jaro - 12,Buhang Flyover,4000.0,1.0109,Buhang Flyover - Iloilo-Capiz Rd (Rev),jaro - 14,jaro - 13,2166.61,2166.35,15.94
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,M.H Del Pilar,Molo - 4,Molo - 9,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,M.H Del Pilar,Molo - 9,Molo - 10,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 6,Locsin St. - Baluarte - Calumpag - Villa - Oton Blvd,7000.0,1.1238,Molo - Proper Connect,Molo - 10,Proper - 1,1062.0,1060.33,100.29
Molo - 3,Locsin St - San Marcos St.,Molo - 7,San Marcos St. - MH del Pilar St. 1 (Rotunda),6500.0,1.4721,Timawa St,Molo - 5,Proper - 2,806.45,791.33,907.03
Molo - 3,Locsin St - San Marcos St.,Proper - 1,Gen Luna St - Infante St,6500.0,1.3659,Timawa St,Molo - 5,Proper - 2,715.57,711.41,249.44
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,M.H Del Pilar,Molo - 4,Molo - 9,1010.16,1006.93,193.72
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,Timawa St,Molo - 5,Proper - 2,1010.16,1003.74,385.24
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,M.H Del Pilar,Molo - 9,Molo - 10,1010.16,1006.93,193.72
Molo - 3,Locsin St - San Marcos St.,Proper - 4,Baluarte - Calumpang - Villa - Oton Blvd - Infante St,7000.0,1.2656,Molo - Proper Connect,Molo - 10,Proper - 1,1010.16,1006.93,193.72
Molo - 3,Locsin St - San Marcos St.,Proper - 5,Baluarte - Calumpang - Villa - Oton Blvd - Rizal St,6500.0,1.3811,Infante St 1,Proper - 1,Proper - 2,1159.56,1158.04,91.04
Molo - 3,Locsin St - San Marcos St.,Proper - 9,Gen Luna St - Muelle Loney St,7000.0,1.1314,Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,1228.94,1224.62,259.18
Molo - 3,Locsin St - San Marcos St.,Proper - 10,Delgado St - Ruperto Montinola St,7000.0,1.1453,Timawa St,Molo - 5,Proper - 2,1183.56,1154.96,1716.33
Molo - 3,Locsin St - San Marcos St.,Proper - 11,Ledesma St - Ruperto Montinola St,6500.0,1.1575,Infante St 1 (Rev),Proper - 2,Proper - 1,1031.16,1029.58,94.46
Molo - 3,Locsin St - San Marcos St.,Proper - 15,General Hughes St - Duran St,5500.0,1.0829,Infante St 1,Proper - 1,Proper - 2,1062.97,1052.46,630.48
Molo - 3,Locsin St - San Marcos St.,Proper - 15,General Hughes St - Duran St,5500.0,1.0829,Ruperto Montinola St 1,Proper - 8,Proper - 10,1062.97,1062.07,54.12
Molo - 3,Locsin St - San Marcos St.,Proper - 15,General Hughes St - Duran St,5500.0,1.0829,Dela Rama St 1,Proper - 13,Proper - 17,1062.97,1061.63,80.15
Molo - 3,Locsin St - San Marcos St.,Proper - 18,Muelle Loney St - Blumentritt Left,6500.0,1.0433,Infante St 1 (Rev),Proper - 2,Proper - 1,1501.94,1485.39,993.07
Molo - 3,Locsin St - San Marcos St.,Proper - 18,Muelle Loney St - Blumentritt Left,6500.0,1.0433,Ledesma St,Proper - 6,Proper - 11,1501.94,1499.15,167.3
Molo - 3,Locsin St - San Marcos St.,Proper - 18,Muelle Loney St - Blumentritt Left,6500.0,1.0433,Arroyo St (Rev),Proper - 11,Proper - 12,1501.94,1484.15,1067.65
Molo - 3,Locsin St - San Marcos St.,Proper - 18,Muelle Loney St - Blumentritt Left,6500.0,1.0433,JM Basa St 2 (Rev),Proper - 14,Proper - 13,1501.94,1493.16,527.07
Molo - 3,Locsin St - San Marcos St.,Proper - 18,Muelle Loney St - Blumentritt Left,6500.0,1.0433,Blumentritt 2 (Rev),Proper - 19,Proper - 17,1501.94,1493.36,514.65
Molo - 3,Locsin St - San Marcos St.,Proper - 19,Muelle Loney St - Blumentritt Right,6000.0,1.066,Ledesma St,Proper - 6,Proper - 11,1175.62,1175.37,14.78
Molo - 3,Locsin St - San Marcos St.,Proper - 22,Fort San Pedro Dr - General Hughes St,5000.0,1.0554,Infante St 1,Proper - 1,Proper - 2,879.78,876.29,209.66
Molo - 3,Locsin St - San Marcos St.,Proper - 22,Fort San Pedro Dr - General Hughes St,5000.0,1.0554,Dela Rama St 1,Proper - 13,Proper - 17,879.78,877.04,164.54
Molo - 3,Locsin St - San Marcos St.,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,3500.0,1.3993,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,942.1,896.3,2748.11
Molo - 3,Locsin St - San Marcos St.,jaro - 12,Buhang Flyover,2500.0,1.0734,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,527.28,526.33,56.86
Molo - 3,Locsin St - San Marcos St.,jaro - 13,Buhang Flyover,2500.0,1.1048,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,555.26,546.03,553.97
Molo - 3,Locsin St - San Marcos St.,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,2500.0,1.1147,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,540.75,531.02,583.66
Molo - 3,Locsin St - San Marcos St.,jaro - 15,Iloilo Circumferential Rd 1 - Iloilo Radial By-Pass Rd 4,2500.0,1.0955,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,604.38,594.9,568.49
Molo - 3,Locsin St - San Marcos St.,jaro - 19,Monfort Blvd,3000.0,1.0706,Gen Luna St 1,Proper - 1,Proper - 7,600.66,582.2,1107.4
Molo - 3,Locsin St - San Marcos St.,jaro - 19,Monfort Blvd,3000.0,1.0706,Bonifacio Drive,Proper - 7,lapaz - 10,600.66,599.68,58.29
Molo - 3,Locsin St - San Marcos St.,jaro - 19,Monfort Blvd,3000.0,1.0706,Huervana St - Rizal St,lapaz - 1,lapaz - 2,600.66,599.68,58.29
Molo - 3,Locsin St - San Marcos St.,jaro - 19,Monfort Blvd,3000.0,1.0706,Luna St - Esplanade 5 (Rev),lapaz - 10,lapaz - 1,600.66,599.68,58.29
Molo - 3,Locsin St - San Marcos St.,jaro - 22,Iloilo Radial By-Pass Rd 4 - Leganes,3000.0,1.0545,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,982.78,977.43,321.16
Molo - 3,Locsin St - San Marcos St.,jaro - 23,Iloilo Circumferential Rd 1 - Pavia,3000.0,1.0545,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,982.78,977.43,321.16
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Delgado St,Proper - 2,Proper - 10,899.52,896.42,185.76
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,899.52,891.79,463.93
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Gen Luna St 3,Proper - 8,Proper - 9,899.52,898.99,31.75
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Quirino - Lopez Bridge,Proper - 9,lapuz - 2,899.52,889.65,592.32
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,899.52,889.37,608.74
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Rizal St - Luna St,lapaz - 2,lapaz - 3,899.52,889.65,592.32
Molo - 3,Locsin St - San Marcos St.,lapaz - 1,Luna St - Huervana St,5500.0,1.1781,Rizal St - Huervana St (Rev),lapuz - 2,lapaz - 2,899.52,889.65,592.32
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Locsin St,Molo - 5,Molo - 6,874.05,870.52,211.57
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Molo Blvd 2,Molo - 6,Proper - 4,874.05,870.52,211.57
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,874.05,872.29,105.69
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Delgado St,Proper - 2,Proper - 10,874.05,860.13,835.06
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Baluarte - Oton Blvd,Proper - 4,Proper - 5,874.05,870.52,211.57
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Rizal St 2,Proper - 5,Proper - 6,874.05,870.52,211.57
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Ledesma St,Proper - 6,Proper - 11,874.05,870.52,211.57
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,874.05,861.71,740.24
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,874.05,860.41,818.16
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,874.05,859.78,856.28
Molo - 3,Locsin St - San Marcos St.,lapaz - 3,Luna St - Luna St,5500.0,1.1639,Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,874.05,856.41,1058.45
Molo - 3,Locsin St - San Marcos St.,lapaz - 4,Huervana St - Burgos St,5000.0,1.1063,Timawa St,Molo - 5,Proper - 2,821.52,820.45,64.01
Molo - 3,Locsin St - San Marcos St.,lapaz - 4,Huervana St - Burgos St,5000.0,1.1063,Infante St 1 (Rev),Proper - 2,Proper - 1,821.52,807.92,815.75
Molo - 3,Locsin St - San Marcos St.,lapaz - 5,Huervana St - Jereos St,5000.0,1.1018,Timawa St,Molo - 5,Proper - 2,854.33,853.27,64.01
Molo - 3,Locsin St - San Marcos St.,lapaz - 5,Huervana St - Jereos St,5000.0,1.1018,Infante St 1 (Rev),Proper - 2,Proper - 1,854.33,840.74,815.75
Molo - 3,Locsin St - San Marcos St.,lapaz - 6,Jereos St - Huervana Ext,5000.0,1.0978,Timawa St,Molo - 5,Proper - 2,885.59,884.52,64.01
Molo - 3,Locsin St - San Marcos St.,lapaz - 6,Jereos St - Huervana Ext,5000.0,1.0978,Infante St 1 (Rev),Proper - 2,Proper - 1,885.59,871.99,815.75
Molo - 3,Locsin St - San Marcos St.,lapaz - 7,Huervana Ext - Burgos St,5000.0,1.085,Timawa St,Molo - 5,Proper - 2,874.15,869.01,308.19
Molo - 3,Locsin St - San Marcos St.,lapaz - 7,Huervana Ext - Burgos St,5000.0,1.085,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,874.15,843.02,1867.6
Molo - 3,Locsin St - San Marcos St.,lapaz - 7,Huervana Ext - Burgos St,5000.0,1.085,Infante St 1 (Rev),Proper - 2,Proper - 1,874.15,851.31,1370.26
Molo - 3,Locsin St - San Marcos St.,lapaz - 7,Huervana Ext - Burgos St,5000.0,1.085,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,874.15,872.35,107.79
Molo - 3,Locsin St - San Marcos St.,lapaz - 9,Baldoza St - Monfort Blvd,3000.0,1.0935,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,515.93,515.35,34.89
Molo - 3,Locsin St - San Marcos St.,lapaz - 10,Luna St - Taytay Forbes,5500.0,1.1804,Quirino - Lopez Bridge,Proper - 9,lapuz - 2,912.5,902.07,625.65
Molo - 3,Locsin St - San Marcos St.,lapaz - 10,Luna St - Taytay Forbes,5500.0,1.1804,Rizal St - Luna St,lapaz - 2,lapaz - 3,912.5,902.07,625.65
Molo - 3,Locsin St - San Marcos St.,lapaz - 10,Luna St - Taytay Forbes,5500.0,1.1804,Rizal St - Huervana St (Rev),lapuz - 2,lapaz - 2,912.5,902.07,625.65
Molo - 3,Locsin St - San Marcos St.,lapuz - 2,Rizal St - Quirino-Lopez Bridge,6000.0,1.2234,Gen Luna St 2,Proper - 7,Proper - 8,1064.67,982.06,4956.24
Molo - 3,Locsin St - San Marcos St.,lapuz - 2,Rizal St - Quirino-Lopez Bridge,6000.0,1.2234,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,1064.67,1063.69,58.45
Molo - 3,Locsin St - San Marcos St.,lapuz - 4,Rizal St - New Iloilo Ferry Terminal Access Rd,5000.0,1.238,Gen Luna St 2,Proper - 7,Proper - 8,1083.27,1049.81,2007.52
Molo - 3,Locsin St - San Marcos St.,lapuz - 6,Rizal St - Lapuz-Mansaya-Roboc Rd,4000.0,1.1582,Gen Luna St 2,Proper - 7,Proper - 8,794.31,747.45,2811.71
Molo - 3,Locsin St - San Marcos St.,lapuz - 6,Rizal St - Lapuz-Mansaya-Roboc Rd,4000.0,1.1582,Gen Luna St 3,Proper - 8,Proper - 9,794.31,768.59,1542.94
Molo - 3,Locsin St - San Marcos St.,lapuz - 7,Lapuz-Mansaya-Roboc Rd - Coastal Rd,5500.0,1.06,Gen Luna St 2,Proper - 7,Proper - 8,1236.97,1220.02,1016.73
Molo - 3,Locsin St - San Marcos St.,lapuz - 7,Lapuz-Mansaya-Roboc Rd - Coastal Rd,5500.0,1.06,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,1236.97,1200.01,2217.21
Molo - 3,Locsin St - San Marcos St.,lapuz - 7,Lapuz-Mansaya-Roboc Rd - Coastal Rd,5500.0,1.06,Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,1236.97,1235.25,102.67
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 5,Baluarte - Calumpang - Villa - Oton Blvd - Rizal St,6500.0,1.2974,Infante St 1,Proper - 1,Proper - 2,776.12,775.53,35.31
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 11,Ledesma St - Ruperto Montinola St,10000.0,1.0326,Infante St 1 (Rev),Proper - 2,Proper - 1,1754.41,1651.29,6187.48
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 12,Arroyo St - Muelle Loney St,7500.0,1.0628,Ledesma St,Proper - 6,Proper - 11,1158.34,1142.98,921.49
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 12,Arroyo St - Muelle Loney St,7500.0,1.0628,Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,1158.34,1140.94,1044.16
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 17,Dela Rama St - Blumentritt,5000.0,1.0458,Infante St 1,Proper - 1,Proper - 2,743.34,730.59,764.97
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 17,Dela Rama St - Blumentritt,5000.0,1.0458,Ledesma St,Proper - 6,Proper - 11,743.34,724.72,1117.5
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 17,Dela Rama St - Blumentritt,5000.0,1.0458,Arroyo St (Rev),Proper - 11,Proper - 12,743.34,731.3,722.44
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 17,Dela Rama St - Blumentritt,5000.0,1.0458,JM Basa St 2 (Rev),Proper - 14,Proper - 13,743.34,732.9,626.49
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 17,Dela Rama St - Blumentritt,5000.0,1.0458,Muelle Loney St 3,Proper - 18,Proper - 19,743.34,742.64,42.02
Molo - 4,Locsin St. - M.H Del Pilar St. 2,Proper - 22,Fort San Pedro Dr - General Hughes St,4000.0,1.0406,Ruperto Montinola St 2,Proper - 10,Proper - 11,597.11,596.26,50.63
Molo - 4,Locsin St. - M.H Del Pilar St. 2,mandurriao - 1,Mandurriao - Jaro Rd - Old Iloilo - Capiz Rd,8000.0,1.2885,Infante St 1 (Rev),Proper - 2,Proper - 1,1460.42,1449.89,631.74
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 9,Iloilo-Capiz Rd - Balabago Rd,3500.0,1.4196,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,909.5,885.2,1458.12
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 18,Old Lopez Jaena St - Iloilo-Capiz Rd,7500.0,1.0468,El 98 St (Rev),mandurriao - 1,jaro - 7,1945.29,1885.05,3614.77
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 18,Old Lopez Jaena St - Iloilo-Capiz Rd,7500.0,1.0468,El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,1945.29,1885.05,3614.77
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 19,Monfort Blvd,3000.0,1.0734,Gen Luna St 1,Proper - 1,Proper - 7,579.01,560.56,1107.4
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 19,Monfort Blvd,3000.0,1.0734,Bonifacio Drive,Proper - 7,lapaz - 10,579.01,578.04,58.29
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 19,Monfort Blvd,3000.0,1.0734,Huervana St - Rizal St,lapaz - 1,lapaz - 2,579.01,578.04,58.29
Molo - 4,Locsin St. - M.H Del Pilar St. 2,jaro - 19,Monfort Blvd,3000.0,1.0734,Luna St - Esplanade 5 (Rev),lapaz - 10,lapaz - 1,579.01,578.04,58.29
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 4,Huervana St - Burgos St,8500.0,1.1702,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2072.01,1958.5,6810.52
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 4,Huervana St - Burgos St,8500.0,1.1702,Infante St 1 (Rev),Proper - 2,Proper - 1,2072.01,1991.14,4852.19
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 4,Huervana St - Burgos St,8500.0,1.1702,Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,2072.01,2056.54,928.54
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 4,Huervana St - Burgos St,8500.0,1.1702,Rizal St - Huervana St (Rev),lapuz - 2,lapaz - 2,2072.01,2035.12,2213.87
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 5,Huervana St - Jereos St,8500.0,1.1498,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1999.75,1896.17,6214.77
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 5,Huervana St - Jereos St,8500.0,1.1498,Infante St 1 (Rev),Proper - 2,Proper - 1,1999.75,1907.39,5541.81
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 5,Huervana St - Jereos St,8500.0,1.1498,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,1999.75,1992.83,415.05
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 5,Huervana St - Jereos St,8500.0,1.1498,Rizal St - Huervana St (Rev),lapuz - 2,lapaz - 2,1999.75,1966.67,1984.97
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 10,Luna St - Taytay Forbes,4500.0,1.0963,Gen Luna St 1,Proper - 1,Proper - 7,569.46,562.52,416.07
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapaz - 10,Luna St - Taytay Forbes,4500.0,1.0963,Gen Luna St 2 (Rev),Proper - 8,Proper - 7,569.46,563.44,360.8
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 2,Rizal St - Quirino-Lopez Bridge,5500.0,1.1443,Gen Luna St 2,Proper - 7,Proper - 8,712.33,629.99,4940.27
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 4,Rizal St - New Iloilo Ferry Terminal Access Rd,5500.0,1.3025,Gen Luna St 2,Proper - 7,Proper - 8,1176.94,1077.73,5952.29
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 5,New Iloilo Ferry Terminal Access Rd,5500.0,1.1033,Gen Luna St 2,Proper - 7,Proper - 8,1354.92,1254.49,6025.92
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 6,Rizal St - Lapuz-Mansaya-Roboc Rd,4000.0,1.1707,Gen Luna St 2,Proper - 7,Proper - 8,744.16,697.3,2811.71
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 6,Rizal St - Lapuz-Mansaya-Roboc Rd,4000.0,1.1707,Gen Luna St 3,Proper - 8,Proper - 9,744.16,718.96,1512.04
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 7,Lapuz-Mansaya-Roboc Rd - Coastal Rd,2500.0,1.0519,Gen Luna St 2,Proper - 7,Proper - 8,395.71,375.51,1211.87
Molo - 4,Locsin St. - M.H Del Pilar St. 2,lapuz - 7,Lapuz-Mansaya-Roboc Rd - Coastal Rd,2500.0,1.0519,Gen Luna St 3,Proper - 8,Proper - 9,395.71,395.56,8.97
Molo - 5,Locsin St. - Timawa St.,Proper - 15,General Hughes St - Duran St,5500.0,1.1454,Ledesma St,Proper - 6,Proper - 11,899.89,898.55,80.18
Molo - 5,Locsin St. - Timawa St.,Proper - 15,General Hughes St - Duran St,5500.0,1.1454,Dela Rama St 1,Proper - 13,Proper - 17,899.89,880.7,1151.43
Molo - 5,Locsin St. - Timawa St.,Proper - 19,Muelle Loney St - Blumentritt Right,2500.0,1.0327,Blumentritt 1 (Rev),Proper - 18,Proper - 17,299.63,296.34,197.01
Molo - 5,Locsin St. - Timawa St.,Proper - 21,Fort San Pedro Dr - Muelle Loney St,5000.0,1.0447,Blumentritt 1 (Rev),Proper - 18,Proper - 17,738.7,734.39,258.85
Molo - 5,Locsin St. - Timawa St.,Proper - 22,Fort San Pedro Dr - General Hughes St,6000.0,1.0742,Infante St 2,Proper - 2,Proper - 3,983.72,979.01,282.43
Molo - 5,Locsin St. - Timawa St.,Proper - 22,Fort San Pedro Dr - General Hughes St,6000.0,1.0742,Infante St 3,Proper - 3,Proper - 4,983.72,979.01,282.43
Molo - 5,Locsin St. - Timawa St.,Proper - 22,Fort San Pedro Dr - General Hughes St,6000.0,1.0742,Ledesma St,Proper - 6,Proper - 11,983.72,977.34,382.68
Molo - 5,Locsin St. - Timawa St.,Proper - 22,Fort San Pedro Dr - General Hughes St,6000.0,1.0742,Arroyo St (Rev),Proper - 11,Proper - 12,983.72,974.38,560.04
Molo - 5,Locsin St. - Timawa St.,mandurriao - 1,Mandurriao - Jaro Rd - Old Iloilo - Capiz Rd,7500.0,1.2038,Rotunda,Molo - 7,Molo - 8,1283.71,1177.09,6397.1
Molo - 5,Locsin St. - Timawa St.,mandurriao - 1,Mandurriao - Jaro Rd - Old Iloilo - Capiz Rd,7500.0,1.2038,Gen Luna - Molo Connect,Proper - 1,Molo - 7,1283.71,1177.09,6397.1
Molo - 5,Locsin St. - Timawa St.,jaro - 7,Plaza Rizal St - El 98 St,4500.0,1.2862,Infante St 1 (Rev),Proper - 2,Proper - 1,705.08,703.94,68.72
Molo - 5,Locsin St. - Timawa St.,lapaz - 2,Rizal St - Luna St,3000.0,1.0321,Infante St 1 (Rev),Proper - 2,Proper - 1,313.65,313.47,11.06
Molo - 5,Locsin St. - Timawa St.,lapaz - 4,Huervana St - Burgos St,8000.0,1.1714,Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,1733.25,1684.62,2917.46
Molo - 5,Locsin St. - Timawa St.,lapaz - 4,Huervana St - Burgos St,8000.0,1.1714,Infante St 1 (Rev),Proper - 2,Proper - 1,1733.25,1624.03,6553.03
